0: 1,5,6
1: 2,7,0,6
2: 1,8,7,3
3: 4,9,2,8
4: 3,9,10
5: 11,12,6,0
6: 12,5,0,1,7,13
7: 1,2,8,6,13,14
8: 2,7,3,9,14,15
9: 3,4,10,8,15,16
10: 4,9,16
11: 12,18,5
12: 11,18,19,5,6,13
13: 14,20,7,12,19,6
14: 13,20,21,8,7,15
15: 16,8,9,14,21,22
16: 15,9,10,17,34
17: 16,23
18: 11,12,19,24,25
19: 12,18,13,20,25,26
20: 13,14,21,19,26,27
21: 14,20,15,27,28,22,34
22: 28,29,34,21,15,27
23: 17,29,34
24: 25,18
25: 24,30,18,19,26
26: 27,35,19,20,25,30
27: 26,37,36,20,21,28,32,22
28: 29,33,32,22,34,21,27
29: 28,33,22,34,23
30: 25,26,35
31: 
32: 28,33,27,37,39
33: 28,29,32
34: 28,29,22,21,16,23
35: 26,30
36: 27
37: 27,32
38: 
39: 32
